Entrada/Saída;Data;Movimentação;Produto;Instituição;Quantidade;Preço unitário;Valor da Operação
Credito;26/10/2021;Transferência - Liquidação;RDOR3 - REDE DOR SAO LUIZ S/A;NU INVEST CORRETORA DE VALORES S.A.;5; R$60,48 ; R$302,40 
Credito;25/10/2021;Rendimento;BTLG11 - BTG PACTUAL LOGISTICA FUNDO DE INVESTIMENTO IMOBILIARIO;NU INVEST CORRETORA DE VALORES S.A.;15; R$0,72 ; R$10,80 
Credito;25/10/2021;Transferência - Liquidação;CSAN3 - COSAN S.A.;NU INVEST CORRETORA DE VALORES S.A.;20; R$21,10 ; R$422,00 
Credito;25/10/2021;Transferência - Liquidação;MGLU3 - MAGAZINE LUIZA S/A;NU INVEST CORRETORA DE VALORES S.A.;46; R$12,51 ; R$575,46 
Credito;25/10/2021;Rendimento;XPML11 - XP MALLS FDO INV IMOB FII;NU INVEST CORRETORA DE VALORES S.A.;45; R$0,57 ; R$25,65 
Credito;22/10/2021;Bonificação em Ativos;PSSA3 - PORTO SEGURO S/A;NU INVEST CORRETORA DE VALORES S.A.;50; - ; - 
Credito;22/10/2021;Juros Sobre Capital Próprio;TOTS3 - TOTVS S.A.;NU INVEST CORRETORA DE VALORES S.A.;15; R$0,09 ; R$1,15 
Credito;19/10/2021;Transferência - Liquidação;BPAC11 - BANCO BTG PACTUAL S/A;NU INVEST CORRETORA DE VALORES S.A.;11; R$25,87 ; R$284,57 
Credito;19/10/2021;Transferência - Liquidação;ENBR3 - EDP ENERGIAS DO BRASIL S.A.;NU INVEST CORRETORA DE VALORES S.A.;50; R$19,14 ; R$957,00 
Debito;19/10/2021;Transferência - Liquidação;EURP11 - TREND ETF MSCI EUROPA FDO. INV. ÍNDICE - INV. EXT.;NU INVEST CORRETORA DE VALORES S.A.;5; R$11,52 ; R$57,60 
Credito;19/10/2021;Transferência - Liquidação;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;9; R$8,17 ; R$73,58 
Credito;18/10/2021;Transferência - Liquidação;BIDI11 - BANCO INTER S/A;NU INVEST CORRETORA DE VALORES S.A.;10; R$50,75 ; R$507,50 
Credito;15/10/2021;Rendimento;BCFF11 - FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS;NU INVEST CORRETORA DE VALORES S.A.;50; R$0,50 ; R$25,00 
Credito;15/10/2021;Rendimento;HCTR11 - HECTARE CE - FUNDO DE INVESTIMENTO IMOBILIÁRIO;NU INVEST CORRETORA DE VALORES S.A.;25; R$1,60 ; R$40,00 
Credito;15/10/2021;Rendimento;KISU11 - KILIMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS IMOBILIÁRIOS;NU INVEST CORRETORA DE VALORES S.A.;223; R$0,06 ; R$13,38 
Credito;15/10/2021;Rendimento;RECR11 - FDO INV IMOB - FII UBS (BR) RECEB IMOB;NU INVEST CORRETORA DE VALORES S.A.;60; R$1,09 ; R$65,15 
